"titelen","SDGs","lernergebnisseenUNDlerninhalteen"
"Analog Integrated Circuit Design","9","The continuous progress in the field of integrated circuits and systems makes it possible to integrate more complex functions with ever-increasing operating speeds in a system-on-chip approach. The basic module Analog Integrated Circuits"" is teaching the analog concepts and basic circuit techniques that are used in integrated analog circuits. As part of a practically-oriented training part, the skills to master independent basic circuit design, simulate and develop the layout are taught."" In this course the following topics will be covered: 1. Design and layout of integrated passives 2. MOSFET small and large signal behavior, stability and Bodeplot 3. MOSFET basic circuits such as current mirrors, common-source amplifier circuits, common-gate amplifier circuits, noise 4. Operational amplifiers, differential stage, frequency compensation"
"Introduction to Programming in Java","4, 9","Students have acquired knowledge of object-oriented programming languages, specifically Java, and are able to use their knowledge in small software engineering projects. This module introduces basic concepts of object-oriented programming using Java as an example:  - Basic algorithms and data structures - Input and output with streams - Parallel programming with threads - Network communication with sockets - Software design patterns"
"Fundamentals of Computer Engeneering","4, 9","Graduates of this module understand the basic operation of a computer and the interaction of its components. They know the tasks of an operating system and have an overview of its essential functions. They have an understanding of the operation of computer networks and have gained insights into the specific problems of distributed systems. * Fundamentals of computer architecture * Introduction to operating system concepts * Fundamentals of distributed systems and computer networks"
"Lighting technology: Basics and application","7, 11, 13","The students have a basic knowledge of lighting technology and lighting engineering. With this knowledge, they are able to perform complex lighting calculations. The module ‘Introduction to lighting technology’ covers the basic lighting quantities, the principles of lighting, as well as complex lighting calculations.  Theoretical and practical examples will demonstrate the photometric correlations. "
"Semiconductors and Circuitry in Power Electronics","7, 9, 11","After successful completion of this module, students will be able to solve power electronic problems by using scientific methods. Additional, the students will have the ability to documentate and present their results in a suitable and scientifc way. Consists of topics of the recent research fields of power electronics. Possible research fields are (among others) the characterization of novel semiconductor devices and the application of power electronics in e-mobility or renewable energy integration. The practical reference will be realized in various porject parts like PCB-design, programming, hardware design and measurements. Depending on the project different tools for simulation, dimensioning and design (e.g. Matlab Simulink, Plecs or KiCad) will be used."
"Fundamentals of technical optics","7, 11, 13","The students have in-depth knowledge of technical optics. With their knowledge, they are able to apply basic laws, perform optical calculations, and use optical components and instruments. With the associated practical course, the theoretical knowledge of technical optics is supplemented by their own experience. The students have acquired qualifications that enable them to work in companies and scientific institutions in the field of the use and development of optical technologies. The module also includes content on social responsibility and sustainability. The reduction of energy requirements for artificial lighting through the use of energy-efficient components and application-optimised lighting solutions is part of the course 'Fundamentals of technical optics'."
"Wireless Networking Technologies","9","This course primarily targets Masters students but also ambitious Bachelor students who want to get the opportunity to broaden their knowledge of specific wireless communication technologies. After completing this course, students will have deep knowledge about wireless technologies from the IEEE 802 protocol family (e.g., WiFi, Bluetooth and ZigBee), technologies for adhoc/mesh networks and classical cellular networks. Additionally, during the labs, students will have the opportunity to study selected technologies or technology-oriented problems in hands-on exercises. The goal of this lecture is twofold. First, to provide a solid overview of modern wireless communication systems. To this end, the scope of addressed topics is very broad, ranging from technologies suited for personal/short range (Bluetooth, ZigBee), local networks (IEEE 802.11) and ad-hoc/mesh networks (IEEE 802.11s) to the classical cellular networks, including the most important standards in the evolution path: GSM, GPRS, UMTS, LTE, and LTE-Advanced. Second and most importantly, the aspect of integration of the above-mentioned systems will be discussed (e.g., mobile IP), with many practical details on how different technologies and solutions can co-exist together in order to improve the overall service efficiency. Additionally, student will be able to gather hands-on experiences with selected technologies through homework (e.g., running computer simulations)."
"Programming Lab: Cyber-Physical Systems","9","Students... * Have applied, and acquainted themselves with software engineering methods, based on a complex task/problem. * Have obtained team work experience and improved their team work skills. * Have implemented a complex system using modern software engineering tools. Application of software development, communication and project management tools; project planning, software analysis and design, implementation, documentation, evaluation and test based on a practical task/problem."
"Applied Verification of C-Programs","4, 9","In this module, students gain knowledge about formal verification of programs as well as experience in the application of tools for the automatic analysis of software. This module is taught by Dr.-Ing. habil. Thomas Santen (thomas.santen@outlook.com). In this module, tools that are often used in industry are used for an automatic analysis of parts of real software. The lecture gives an introduction into formal, tool-supported verification of C programs. The whole programming language C, in the amount that is used to program operating system components, is considered. The analysis includes simple function specifications, invariants, memory safety, functional correctness and the correctness of concurrent programs. Examples in the lecture and exercises are performed with the verification tool VCC, which was developed at Microsoft Research. Furthermore, the lecture presents the technical and academic progress of the last 12 years that - starting from the Hoare calculus - brought verification of C programs into practice."
"Project Media Creation (6 CP)","4, 9","The students exhibit - the skills to interrelate technical and socio-scientific knowledge in given application contexts in order to solve practical problems in digital media production; - practical skills in the conception, design, creation, and editing of media; - practical skills in the conception, design, and creation of media systems; - practical skills in the evaluation of media systems; - practical experience in working with an interdisciplinary team; - competencies in the presentation of their knowledge to others; - practical skills in project management and practical experience in project organization. In this module, the student develop digital media based on previously acquired skills. Both informatics-related as well as creative and analytic-socio-scientific competencies are deployed. The project comprises the complete creation process of a digital medium from conception, design, capture, and post-production to its evaluation. The given problem to solve is redefined every semester and is solved in a team with interdisciplinary competencies. A multitude of different projects is available each semester. Most of the projects include sustainability aspects, depending on the project task. The team organizes itself autonomously. Regular supervision by a lecturer is guaranteed. The project ends with the presentation of the results and the submission of the project files."
"Theory and Applications of Measurement and Diagnostic Technology","9","Students are able to do a literature research on a specific research topic, to summarize the results scientifically, to present and to defend their work.  By completing the project, students have in-depth practical knowledge in a selected field of technical diagnosis or modeling / simulation after completing the module. In addition, students can estimate the time and capacity required to complete the delineated tasks. In the seminar Measurement and Diagnostic Technology (in English) lectures on new research results and trends in the fields of measurement and diagnostic technology, modeling and simulation will be prepared and held. The focus is on vehicle and engine technology. In the course Small Project Simulation and Technical Diagnosis projects from current topics of the simulation of mechatronic systems, in particular in the field of automotive engineering and technical diagnostics, are processed. In the form of a specification, the basic requirements that must be met by the product"" to be realized are listed by the students. Subsequently, a project planning is to be carried out. Here, both a time and capacity planning with the appropriate distribution of tasks to perform. The planning must show the time load (workload) of the individual processor. After the release of the specifications by the supervisor and the planning, the independent problem solving and implementation of the task take place."""
"Applied Computer Vision","9","An introduction to computer vision fundamentals like sensor orientation, feature detection and matching, or visualization of spatial information will be given. These skills are useful for students who are interested in processing of images in a context-aware manner. The course starts with basic methods of image processing (e.g. edge detection), image analysis, and other computer vision areas. Basic programming skills as well as basic mathematical knowledge in the area of linear algebra and analysis are helpful."
"Project Lab High Voltage Engineering","9","Students learn project oriented work and the fundamentals of project managment by developing a product of there choise. Aim of this Modul is to learn project oriented work and working in groups by developing a product. The students acquire technical and social skills. Students learn every part of an development process from the idea, the concept, the electrical and PCB development to the testing till the prototype is developed. On the other hand there is a high focus on the self-management of the project done by the students. Therefore students have to create a todo list, a time schedule with milestones, a documentation of there work and finally a presentation."
"Applications of Power Electronics","7, 9, 11","The students are able to use their knowledge and methods on a scientific and practical orientated problem of power electronics. In addition to that they acquire skills to present their work and solve a problem in a team. Consists of recent topics and problems of power electronics. Possible research fields are (amongst others) the characterization of novel semiconductor devices and the application of power electronics in e-mobility or renewable energy integration. The practical reference will be realized in various project parts like PCB-design, programming, hardware design and measurements. Depending on the project different tools for simulation, dimensioning and design (e.g. Matlab Simulink, Plecs or Eagle) will be used. Typical aspects of power electronic projects are investigated and independently preparated."
"Fundamentals of electronics","4, 9"," After a successful completion of the module students know the fundamental properties of electronic components, e.g. a resistor, capacitor or a transistor. The aim of the module is to develop the understanding of different facts of electronic circuits (e.g. compont's insulation capacity). Foundamentals of different electronic compents are taught in this module. Students get to now for example resitors, capacitors, transistors, light-emmiting diodes, ICs and phototransistors. Electronic components are used and analysed in simple circuits. For example a function generator is build."
"Networked Embedded Systems","9, 11","The learning objective is to understand the fundamental concepts of networded embedded systems. Students understand these concepts and are able to apply this knowledge. The objective of this course is gain insights into the operation and programming of embedded systems. A strong focus is on wireless sensor networks. We study the fundamentals of such sensor networks. In the scope of the exercises, we discuss selected topics in more detail. * Design and architecture of embedded systems: Architecture of embedded systems, programming paradigms * Sensor networks: Principles and applications * Wireless communications: Concepts of modulation and encoding on the physical layer * Wireless access: Typical medium access protocols for low-power sensor nodes * Routing: Ad hoc routing and data centric communication * Clustering: Clustering algorithms, guaranteed connectivity * Localization: Ranging techniques, localization algorithms"
"Applications of Robotics and Autonomous Systems","4, 9","The students will have an in-depth knowledge and hands-on experience on emerging fields of Robotics and Autonomous Systems (RAS) towards a smooth transition from theoretical knowledge to their applications in dynamic real-time environments. They will experience a full R&D project cycle covering researching, positioning, designing, developing and evaluating (testing on real systems or on simulation). They will gain deeper insights into the scientific and technological aspects of existing solutions in artificial intelligence and multi-agent systems. The students will experience various perception, cognition, learning and planning problems in RAS, will have improved programming skills in real applications, and will get familiar with Robotic Operating System (ROS). The projects comprise of a selection of topics / problems in line with the department’s research and development activities. These topics will be from emerging fields of RAS, for example: - Autonomous Driving (SLAM, motion, navigation and traffic planning), - Autonomous Smart Factory (optimization in production, autonomous warehousing), - Human-Robot Collaboration (robot perception, human-aware planning). An introduction to ROS, selected simulation environments (e.g. MORSE) and the available real systems (HWs) will be provided by lectures as well as a number of suggested topics. The students will be formed into teams each focusing on one of the selected topics. Throughout the semester, the teams will further detail their topics into design descriptions, system architectures and finally applied systems with validated results. The topics will be implemented regarding the multi-agent nature of autonomous systems. Relevant testbeds as well as a close supervision will be provided to the students. The topics overall cover the technical work below: - autonomous driving: localisation, motion and navigation planning, - multi-robot planning: autonomous warehousing with traffic management, - human-aware planning: human activity recognition (HAR), stochastic planning with collaborative robots including autonomous cars, - machine learning for real-world applications applied to the topics above (e.g. reinforcement learning, deep learning)."
"Advanced Computer Architecture","4, 9","To become familiar with the architecture and organization of recent superscalar and VLIW processors and multicores. To be able to select, given functional and non-functional requirements, the most appropriate computer architecture. To be able to optimize code for a particular processor using, e.g., code scheduling and loop unrolling. To become familiar with parallel computer architectures, cache coherence, memory consistency, etc. To be able to design a memory hierarchy that optimizes latency, throughput, and or energy dissipation. To be able to study recent advances in computer architecture, classify recent research articles, and report about it, both verbally and in writing. Studying the architecture and organization of the newest microprocessors currently on the market, and the latest developments in computer architecture research. Quantifying design decisions in terms of performance and cost. Contents: Basic principles (such as instruction set design, pipelining, and pipelining consequences). VLIW (very long instruction word), superpipelined, superscalar, SIMD (single instruction, multiple data), and MIMD (multiple instruction, multiple data) architectures. Out-of-order and speculative execution, branch prediction. SMT (Simultaneous Multi-Threading). Design of advanced memory hierarchies, prefetching. Introduction to multi-core architectures, memory coherence and consistency."
"MDS Management of Data Streams","9, 11","Through the technological advances in the last few years more and more applications are being created that constantly generate data which is only relevant for a certain time frame. Because of this, this type of application has to be able to handle various streams of data. You will gain conceptual, methodological and practical skills in the area of processing data streams, by using examples from various application areas. You are qualified to choose, to customise, to use the algorithms of data streams processing, and to develop the architecture of data streams management systems for medium-sized applications. In recent years, advances in hardware technology have facilitated new ways of collecting data continuously. In many applications such as for instance network monitoring, the volume of such data is so large that it may be impossible to store the data on disk. Furthemore, even when the data can be stored, the volume of the incoming data may be so large that it may be impossible to process any particular record more than once. Therefore, many database operations and data analysis algorithms such as for instance filtering, indexing, classification and clustering become significantly more challenging in this context. The course has the following main topics: - Basic conceptual understanding and terminology of data streams management, introduction to data streams, examples (telephone networks, automotive electronics, avionics, transport management, building monitoring, etc.) - Basic concepts of technical information systems, modeling of data streams - Data sources, requirements structuring, requirements of data stream management systems (DSMS) - Reference architecture of a DSMS, architecture modeling - Modeling of the functionality, logical architecture. Description on technical architecture, interface definition, behavior modeling - Data streams processing: Windowing, The Sliding-Window Computation Model and Results - Synopsis Construction in Data Streams (Sampling, Wavelets, Sketches and Histograms) - Filtering, counting in data streams - Data streams analysis: Classification & Clustering - Data processing in sensor networks - Modeling examples (automotive electronics, avionics) - Prototype Systems (Aurora, STREAM, TelegraphCQ) - Frameworks (Flink, Spark, Storm)"
"SDS Scalable Data Science","9, 11","Recent advances in technology have led to rapid growth of big data. This led to the need for cost efficient and scalable analysis algorithms. In this course concepts for scalable analysis of big data sets will be presented and applied using open source technologies. Participants of this module will gain an in-depth understanding of concepts and methods as well as practical experience in the area of scalable data science. The course is principally designed to impart: technical skills (50%), method skills (30%), system skills (10%), and social skills (10%). The module will focus on mainstream distributed processing platforms and paradigms and learn how to employ these to solve challenging big data problems using popular data mining methods. Students will learn how to implement and employ varying data mining algorithms, such as Naïve Bayes, K-Means Clustering, and PageRank on varying open-source systems (e.g., Apache Hadoop, Apache Flink)."
"AES Bachelor Project","4, 9","The students have gained knowledge and experience with modern embedded processor architectures. The project is focused on hardware-software co-design. The project assignments are implemented by groups of students. An important aspect is the selection of appropriate hardware components for the realization and optimization of a specific application. Working in a team is supposed to improve social and project management skills. A group of students is supposed to solve a design and implementation task autonomously in this module. Therefore, existing theoretical and methodological computer architecture knowledge should be applied. This involves planning, implementation, management, coordination and presentation of the group's work."
"Agent Competition: RoboCup","4, 9","Students will be able to exert their techical and methodical knowledge of multi-agent systems. They will have gained practical abilities to design, implement, and test robust, intelligent agents in dynamic, adversarial environments, and critically evaluate their performance. - programming the humanoid robot NAO for soccer or personal assistance tasks - joint control, keyframes, transform, robot model, pose recognition, forward kinematics, inverse kinematics, dynamics, biped locomotion, localization"
"Fundamentals of Multi-Agent Technology","4, 9","To be able to realise cooperative distributed systems. Knowledge of theory and methods for the co-ordination of self-interested, utility maximising agents.  Critical reflection of the methods and technologies of AOT with respect to their applicability and limitations.  To know and be able to identify practical and relevant application areas for multiagent technology. Agent and environment, swarm intelligence.  Rational decision making: game theory basics, individual and social rationality, and welfare functions Cooperation through via task sharing, result sharing, and related interaction protocols. Rational decision making for utility maximising agents based on individual preferences.  Coordination between self-interested agents by means of auctions, voting, coalition formation. Applications, such as Industry 4.0, logistics, sensor networks."
"Current Topics in Algorithmics","4, 9","On successful completion, students will be able to:  - overview a current topic in the field of algorithmics from a theoretical and an applied perspective   - familiarize themselves with a new algorithmic topic  - present a current algorithmic topic in oral and written form to a group of non-experts Current topics in algorithmics; the material is taken from scientific books and journal articles. The current topic will be announced on the website of the research group algorithmics and complexity theory (http://www.akt.tu-berlin.de/menue/teaching/)."
"Algebraic Process Calculi","4, 9","Successful participants of this module have acquired knowledge and competencies to formally model and analyse communicating and mobile process systems by means of algebraic - also domain-specific - process calculi, based on structural operational semantics. They are on the one hand capable to quickly understand existing process calculi on the basis of their syntax and semantics and to extract the corresponding intuitions; on the other hand, they are capable to design new process calculi. For this goal, they use the acquired knowledge and methods to autonomously develop suitable syntax and semantics definitions, to verify their sanity, and to present the results orally. Comparison with finite automata; handshake communication; parallelism, distribution; CCS; Pi Calculus; structural operational semantics; bisimulation techniques; congruences; Application domains: - security protocols, - systems biology, - business processes, - fault-tolerant distributed algorithms."
"Algorithm Engineering","4, 9","On successful completion, students will be able to  - develop and implement efficient algorithms,  - estimate the running time and space consumption of algorithms,  - use standard algorithm libraries and adequate data structures to engineer their algorithms,  - work in teams, and  - give a short oral presentation of the main features of their implementation. Learning Content: The course  - gives an introduction to the basic techniques of Algorithm Engineering, with a particular focus on NP-hard problems,  - helps to design, analyze, and implement algorithms, and  - provides insight into problem modeling and solution strategies including search tree algorithms, data reduction techniques, preprocessing, approximation, heuristics, and approaches based on linear programming (using established solvers)."
"Algorithmic Graph Structure Theory","4, 9","Students completing the course will understand how structural information about instances to computational problems can be used in the design of efficient algorithms. They will be familiar with basic notions of graph decompositions and the algorithmic techniques facilitated to use this additional information. Many algorithmic problems on graphs are NP-hard and therefore there is good evidence that no efficient algorithms solving these problems on all graphs exist. Classical examples are routing problems arising e.g. in integrated circuit layout and design, colouring problems in scheduling applications or domination problems in facility location. However, instances to these problems arising in practical applications may have more ”structure“ than general graphs, e.g. instances may be “hierarchical” or “tree-like”. Using this additional structural information may help in designing efficient algorithms for solving problems in instances of this form. A particularly good example are instances which are planar graphs, i.e. graphs that can be drawn without crossing edges. Planar graphs arise for instance in routing applications, as many road or train maps are nearly planar. It turns out that if the input instance is planar, or a tree, then many hard problems become tractable. In this course we will study methods for solving algorithmic problems on restricted classes of graphs. The most important cases will be planar graphs and graph classes defined by the concept of bounded tree-width. We will then extend this to even more general classes of graphs. The focus of this lecture is to introduce the structural properties of graphs that can be employed in the design of efficient algorithms and to present the algorithmic techniques needed for this."
"Algorithmic Research in Teams","4, 9","On successful completion, students will be able to:  - approach concrete problems in algorithmic research  - present in written and oral form their research findings in a concise and understandable manner  - judge and classify current research results as well as their own findings The research project addresses recent selected research publications. Typically, the research topics will feature questions in algorithmic research, e.g., data clustering, computational social choice, data mining, graph algorithms with applications, social network analysis. The project will contain the following parts of algorithmic research:  - Reading and understanding of previous research contributions.  - Identification of open questions and potential improvements.  - Active participation in the research process together with other participants and the advisors.  - Development of technical writing skills in English.  - Submitting a small paper for publication to an international venue. The participants will work in groups of size two or three in close cooperation with the advisors."
"Algorithmic Bioinformatics","4, 9","Students who have completed this module have knowledge of the formal modelling of computational tasks in biological data analysis. They are familiar with established combinatorial algorithms, adapt at analyzing their computational complexity, and capable of estimating characteristics of typical inputs. In large parts, this course avoids statistical and probabilistic methods and will not teach pipeline design, database interface, or programming python or R. Topics include algorithms for: • Genome Assembly and Scaffolding • Sequence comparison/alignment/compression • Genome rearrangement • Haplotyping • Population genetics and phylogenetics • RNA secondary structure prediction"
"Ambient Assisted Living","3, 9","After successful participation in this module, students ... - know how to build and to evaluate a rather complex software system,  - have experienced strengths and weaknesses of the different methods of ambient assisted technologies - have improved team skills scenarios and applications of ambient assisted living in a networked smart home environment processing and aggregation of sensor data from different sources artificial intelligence"
"Analog and Digital Electronics","4, 9","Based upon the basic kowledge conveyed in circuit and microprocessor technology, the students know the theoretical fundamentals of developing electronical hardware modules. They are proficient with the basics of electronic systems, are capable of performing the necessary calculations and are acquiainted with the methods for designing, dimensioning and integrating systems. The lecture teaches the operation of analog and digital electronical components and systems, as well as their design and system integration. Concrete contents are operational amplifiers, filter circuits, oscillators, phase locked loops, analog-digital/digital-analog converters, programmable logic and select areas of micro- and signal processors. The tutorials are concerned with the exemplary desig and calculations thereof. Optionally, by selecting the module Projekt Elektronik"", one can design, build and test the hard- and software of a freely chosen electronical system. The work in goups of approximatively eight participants demands - other than technical competence - teamwork and project management skills."""
"Analysis of Solar Cells","7, 9, 13","After completing this course, students will have acquired knowledge of how to analyze solar cells and solar cell modules. They will be able to choose and to carry out the proper analysis techniques for determining characteristic solar cell parameters and relevant material properties, while critically evaluating the results.  This course covers the different methods of characterization applied in modern photovoltaic manufacturing and research. It starts out with the analysis of entire devices, followed by an overview of different techniques for determining structural, electrical and optoelectronic material characteristics, with an emphasis on electron microscopy. The course concludes with device simulations. In addition, selected analysis techniques are carried out in detail in the student’s laboratory. "
"Applied Field Theory","4, 9","The students know the physical basics of electromagnetic waves and methods to calculate electromagnetic fields in several situations. They are able to understand and evaluate electromagnetic fields, which are important in nearly all subjects of electrical engineering. The module mainly focuses to electromagnetic waves and their propagation in waveguides and radiation in free space. Consolidation of methods to solve Maxwell's equations - review of fundamentals of Maxwell's theory - wave equation  - plane waves, reflection, Fresnel's formulas - dispersion and definition of several velocities - waves in different waveguides - basics of antenna theory - some additions"
"Architectures of Application Systems","4, 9","After successfully completing this module, students will be familiar with different architectures of distributed applications and selected underlying middleware and web technologies. They are able to design and evaluate application architectures using these technologies. The module provides knowledge about distributed systems from an application, technology and enterprise organization perspective. The focus is on the design and evaluation of software architectures; in particular, the selection, assessment, and use of different middleware and web technologies as well as the development of various software components while considering critical non-functional properties. Fundamental paradigms for distributed application development, such as asynchronous communication and service-oriented architectures, are being introduced. The topics of the lecture are deepened by means of practical programming exercises. The exercises are carried out individually or in small groups depending on the number of participants."
"Application Systems","4, 9","After completing this module, students know about different types of softwares architectures for distributed application systems. They understand underlying technology stacks within Enterprise and Web contexts. They are able to apply this knowledge towards evaluating and engineering distributed application systems by themselves. This module covers fundamentals of distributed application systems. Students will learn about Web technology (such as HTML/XML and HTTP) and enterprise middleware (such as the Java EE technology stack). Key paradigms of distributed application systems such as asynchronous messaging and service-oriented architectures (WS-* and REST-based) are studied. Further, the evolution of distributed application architectures is presented, ranging from traditional one-tier and client-server architectures to Cloud services and microservices. Students gain hands-on experience by programming exercises in the lab section of this module. Exercises are either done individually or in small groups, depending on the number of participants."
"Applied Embedded Systems Project","4, 9","Knowledge and practical experiences in the realm of designing embedded processor architectures and its programming are gained. Students are able to plan, coordinate and carry out hardware/software co-design, programming in hardware description languages and system-level programming, as well as team management and coordination in a project. In this module, a design and implementation assignment, embedded in a concrete, extensive, and challenging development project is to be solved self-reliantly in team work. This assignment conduces to apply gained methods and knowledge in the realm of computer architecture design and is connected to current research topics of the AES group. The study is to be done under as realistic and work-live compliant conditions as possible, including planning, design, implementation, management, coordination, and presentation of work and results of the concrete team work. Exemplary, the following topics are possible: - Map an embedded single-threaded application to an embedded multi-core platform. - Speed-up an application by using FPGA or GPU technology. - Speed-up an embedded system by analyzing and implementing processor and architecture extensions."
"Embedded Systems Architecture","4, 9","Students gain knowledge about the architecture and the functionality of different embedded system components. They are able to perform architectural evaluation and design, as well as to implement platform-specific applications. Lecture: embedded systems, ARM, VLIW architecture and compilation, hardware synthesis, reconfigurable system (especially FPGA), control systems, real-time scheduling, power consumption, vector archtectures (SIMD) Lab: ARM and VLIW assembly language programming, programming with SIMD instruction set extensions of modern processors, hardware synthesis, FPGA synthesis"
"Selected Chapters on Electrical Drives","7, 9, 11","Students who selected this module will be able to design special electrical drive systems. The module is dedicated to students who want to deepen their knowledge gained from Electrical Drive   Technology"" by additional eligible courses. The courses on ""Electric Drives for Road Vehicles"", ""Wind Power generation"", and ""Electrochemical Energy Storage"" are suitable for  improving knowledge   on renewable energies and electrical vehicles. The courses on ""Electrical Machines I and II"", ""Electrical Drives for Volume Production"", and ""Design Practice Electrical Machines"" address persons   interested in electrical machine design. "" The module Selected Chapters on Electrical Drives"" treats topics on drive technology for road vehicles, rail vehicles, wind power, volume production, electrical machines, and electrochemical   energy storage. """
"Selected Topics of Microprocessor Technology and Electronics","4, 9","The students have already deepened and rounded off their knowledge regarding electronics and microprocessor technology. They can independently work out complex new issues from the field of assembler programming of new microprocessors and/or develop and analyze demanding electronical circuits. The subjects are therefore distributed according to each individual's needs. They are able to render an own technical contribution, work as part of a team and adequately document and present their results.  In the Selected Topics of Microprocessor Technology and Electronics"" seminar, the students are offered the chance to work out and present a topic of their choice with the main focus on development of electronics and assembler programming. As part of this, smaller practical tasks can be implemented."""
"Automatic Image Analysis","9","The students acquire stepwise competence for the development of image understanding methods. According to computer vision paradigm knowledge-based image analysis methods are developed based on feature extraction. The module clarifies that the learned skills can be used within multifaceted application areas of automatic image understanding. Visual cognition, grouping, shape descriptors, computer vision paradigm, knowledge-based image analysis, models of the real world, formal representation of the models, models in image scale space, modelling of uncertainty (softcomputing), invariant pattern recognition, Bayesian decision theorem, object detection and categorization, introduction to machine learning, deep learning, Convolutional Neural Networks, video understanding, un- and self-supervised learning, introduction to and practical experience with deep learning frameworks"
"Bachelor Seminar: Operating Complex IT-Systems","4, 9","Successful participants of this module have knowledge and practical experiences in modern, distributed and complex IT systems. Through the work in this seminar the participant will gain methodological skills in preparing literature of current research topics, scientific writing and the presentation. In this seminar we will follow up on these questions in the area of operating complex IT-Systems by consulting selected research papers and recent textbooks including but not limited to current hot topics such as: Cloud Computing, Virtualized Infrastructures, Management of large scale computing clusters, Big Data Analysis and Visualization, Internet of Things, Quality of Service,  Software Defined Networks, Fault Tolerance,  Checkpointing"
"BDASEM Big Data Analytics Seminar","4, 9","During the course of the seminar, the students will learn: (1) how to critically read and interpret scientific literature,  (2) how to give a good scientific presentation that is technically precise, concentrated on the relevant topics, and also enjoyable,  (3) how to summarize and write a critical, succinct technical review of a research paper.  In addition, students will receive an introduction to contemporary research topics in data management, database systems, or technologies and systems for big data management and data science. Moreover, students will gain a great understanding of scientific publications, conferences, and the scientific review process. During the initial phase of this class, students will hear presentations on how to read and review scientific papers, and how to give a good presentation. Additionally, all participants will receive a raw submission version of a top-tier conference research paper. Task of the students is to critically read the paper and prepare a written review of the paper, following a typical conference reviewing template. Afterwards, students will receive the actual expert reviews of the paper, compare these to their findings, and prepare and deliver a presentation that discusses the improvements made between the original submission and the publication of the paper based on the reviewers' criticisms. Moreover, each week, students will be required to reflect on the main challenges addressed in each of their peers' presentations. (Details will be announced in the class.) Representative topics to be discussed, include data stream processing (e.g., scalable and parallel window joins, window aggregation, state management), data processing on modern hardware (e.g., GPU data processing, FPGA acceleration for data sketching), data processing for machine learning and data science (e.g., optimizing machine learning pipelines, dynamic parameter allocation in parameter servers), and query optimization and compilation (e.g., adaptive compilation)."
"Lighting Engineering","7, 11, 13","The students have in-depth lighting engineering knowledge. With this knowledge, they are able to perform lighting calculations, to dimension lighting solutions and to assess the performance of lighting solutions. The students have acquired skills that allow them to work in lighting design practice as well as to perform expert reviews and advisory activities. The Lighting Engineering module offers the courses Lighting Engineering I and II, Daylight and Solar Radiation. A selection of topics within these courses:  Lighting Engineering I: Focus on interior lighting: lamps, luminaires & lighting controls, quality criteria and their metrics, lighting design and calculation of lighting solutions, measurement and assessment, energy and economic considerations, lighting simulations Lighting Engineering II: Focus on outdoor lighting: stationary road lighting, lamps and luminaires, road surface layers, perceptual conditions, quality criteria and their metrics, lighting design and planning, measurement and assessment, lighting for traffic zones with increased accident risk (road safety), and stationary light signalling systems, tunnel lighting, sports facility lighting and outdoor workplaces Daylight and solar radiation: description of solar radiation and daylight, use of daylight, material parameters and properties of the façade, daylight in buildings, advantages of daylight, energy considerations, daylighting systems, glare caused by daylight, measurement of daylight and solar radiation, lighting simulations The module also includes content on social responsibility and sustainability. The influence of street lighting on sleep quality and insect protection is covered in the course 'Lighting Engineering II'. Reducing the energy demand for artificial lighting by using energy-efficient components, application-optimised lighting solutions, lighting management systems and suitable daylight and artificial lighting design is part of the courses 'Lighting Engineering I', 'Lighting Engineering II' and 'Daylighting and Solar Radiation'. The use of light for well-being and health is addressed in the courses 'Lighting Engineering I' and 'Daylighting and Solar Radiation'."
"Computability and Complexity","4, 9","On successful completion, students will be able to apply basic concepts in computability, use Turing machines as basic model of computation, understand the border between computable and uncomputable functions, classify problems as being undecidable, understand the meaning of basic complexity classes and classify problems according to their computational difficulty. Topics include: - Turing computability and Church-Turing thesis - Loop- and While-computability - primitive recursive functions - Halting problem and undecidability - Reducibility between problems - Post correspondence problem - complexity of algorithms and problems such as SAT and CLIQUE - complexity of the decision problem for languages, computational complexity, complexity classes - P, NP and NP-completeness - Cook-Levin theorem for the satisfiability problem (SAT)"
