titelde,SDGs,lernergebnissedeUNDlerninhaltede
"Grundlagen der Elektrotechnik (fuer BT, BGT, LMT)","4, 7, 9","Da die elektrische Energie und deren Anwendung zur Energiewandlung und Signalverarbeitung in den verschiedenen Bereichen des Ingenieurwesens eine bedeutende Rolle spielt, wird in dem Modul Fach- und Methodenkompetenz zu diesem Thema vermittelt. Es werden sowohl Methoden zur Behandlung elektrotechnischer Fragestellungen als auch beispielhafte Anwendungen der Elektrotechnik behandelt. Die Studierenden sollen: •	verschiedenen Wandlungsformen der elektrischen Energie und deren Gesetzmaessigkeiten sowie ihre Anwendungsformen kennen, •	Methoden zur Loesung elektrotechnischer Probleme erlernen und anwenden. Grundlagen der Elektrotechnik: Grundbegriffe, Gesetze fuer Gleichstromkreise, elektrische und magnetische Felder, das Induktionsgesetz und die Anwendungen beim Transformator, Kraefte im Magnetfeld, Wechselstromkreise und Halbleiterbauelemente."
Programmierpraktikum: Skalierbare Systeme,"4, 9, 11","Absolventen dieses Moduls haben Kenntnisse und praktische Erfahrungen im Bereich moderner, verteilter und komplexer IT-Systeme. Schwerpunkte sind Softwareentwurf, Programmierung, Bereitstellung und Sicherstellung der Wartbarkeit von verteilten, web-basierten Systemen. Die Projektarbeit im Team vermittelt zusaetzlich soziale und Projektmanagement-Kompetenzen. Einsatz von skalierbaren Softwareentwicklungsparadigmen, Kommunikations- und Projektmanagement-Werkzeugen, Projektplanung, Software-Analyse und -Design, Implementierung, Dokumentation, Evaluation und Test anhand einer praxisrelevanten Aufgabenstellung."
Aktuelle Themen zu eingebetteten Systemen,"4, 9","Nach Abschluss dieses Seminars koennen die Studierenden Forschungsarbeiten im Bereich der Architektur eingebetteter Systeme lesen, diskutieren, verstehen, praesentieren und zusammenfassen sowie Forschungskolloquien verfolgen. Sie koennen Forschungsergebnisse anderer bewerten und Diskussionspunkte eroertern. Zudem koennen sie eine Abhandlung ueber aktuelle Entwicklungen im Bereich der Architektur eingebetteter Systeme verfassen. Die Themen werden nach den individuellen Beduerfnissen der Studierenden ausgewaehlt. In diesem Seminar eroertern die Studierenden wissenschaftliche Arbeiten zum Thema Architekturen eingebetteter Systeme, treffen eine Auswahl an Arbeiten und praesentieren sowie diskutieren diese Arbeiten in der Gruppe. Zudem schreiben sie eine bewertende Abhandlung ueber die entsprechenden Arbeiten."
Projektpraktikum Automatisierungstechnik,"4, 9","Am Beispiel aktueller Forschungsthemen vermittelt das Projektpraktikum Kenntnisse im Umgang mit automatisierungstechnischen Geraeten und rechnergestuetzten Analyse- und Entwurfsmethoden in Verbindung mit Erfahrungen im Projektmanagement.   Der Schwerpunkt des Praktikums ist die Zusammenarbeit von bis zu drei Studierenden bei der Loesung einer gemeinsamen Projektaufgabe zu aktuellen Forschungsfragen der Regelungstechnik, Rehabilitationsrobotik und Neuroprothetik. Es sollen nicht nur, wie beim konventionellen Praktikum ueblich, Teilaufgaben geloest werden, sondern jeder Studierende der Gruppe ist fuer den Erfolg des gesamten Projektes verantwortlich. Wichtige Entscheidungen werden gemeinsam getroffen. Die Bearbeitung der Aufgabe wird arbeitsteilig von allen Teilnehmern durchgefuehrt, wobei das Management des Projektes von einem Gruppenteilnehmer uebernommen wird. Dies entspricht der Projektdurchfuehrung im industriellen Arbeitsumfeld.  Fuer die Durchfuehrung des Praktikums wird nur die Aufgabenstellung vorgegeben, jedoch kein detaillierter Arbeitsplan. Alle notwendigen Einrichtungen, technischen Unterlagen und Datenblaetter werden zur Verfuegung gestellt. Die Betreuung dieses Projektes bezieht sich auf eine Beratung bei der Aufstellung des Loesungsweges und der Projektorganisation. Sie wird zu festgelegten Zeiten vorgenommen. "
Projektpraktikum Automatisierungstechnik,"4, 9","Am Beispiel aktueller Forschungsthemen vermittelt das Projektpraktikum Kenntnisse im Umgang mit automatisierungstechnischen Geraeten und rechnergestuetzten Analyse- und Entwurfsmethoden in Verbindung mit Erfahrungen im Projektmanagement. Der Schwerpunkt des Praktikums ist die Zusammenarbeit von bis zu vier Studierenden bei der Loesung einer gemeinsamen Projektaufgabe zu aktuellen Forschungsfragen der Regelungstechnik, Rehabilitationsrobotik und Neuroprothetik. Es sollen nicht nur, wie beim konventionellen Praktikum ueblich, Teilaufgaben geloest werden, sondern jeder Studierende der Gruppe ist fuer den Erfolg des gesamten Projektes verantwortlich. Wichtige Entscheidungen werden gemeinsam getroffen. Die Bearbeitung der Aufgabe wird arbeitsteilig von allen Teilnehmern durchgefuehrt, wobei das Management des Projektes von einem Gruppenteilnehmer uebernommen wird. Dies entspricht der Projektdurchfuehrung im industriellen Arbeitsumfeld.  Fuer die Durchfuehrung des Praktikums wird nur die Aufgabenstellung vorgegeben, jedoch kein detaillierter Arbeitsplan. Alle notwendigen Einrichtungen, technischen Unterlagen und Datenblaetter werden zur Verfuegung gestellt. Die Betreuung dieses Projektes bezieht sich auf eine Beratung bei der Aufstellung des Loesungsweges und der Projektorganisation. Sie wird zu festgelegten Zeiten vorgenommen."
Elektronik und Signalverarbeitung,"4, 9","Die Studierenden haben ihr Wissen zu Elektronik und Signalverarbeitung vertieft und abgerundet. Sie sind in der Lage sich selbststaendig in komplexe neue Sachverhalte aus den Bereichen Mikrocontroller- Signalprozessorprogrammierung einzuarbeiten, anspruchvolle elektronische Schaltungen zu entwickeln bzw. analysieren undoder komplexe Algorithmen in Matlab oder C zu implementieren. Die Themen werden nach den individuellen Beduerfnissen der Studierenden ausgewaehlt. Sie sind in der Lage, einen eigenen fachlichen Beitrag zu leisten, im Team zu arbeiten und Arbeitsergebnisse adaequat zu dokumentieren bzw. zu praesentieren. Im Seminar „Elektronik und Signalverarbeitung“ besteht die Moeglichkeit Themen in Absprache mit dem Betreuer mit den Schwerpunkten Elektronikentwicklung und Signalverarbeitung aufzuarbeiten und zu praesentieren. Die Themen umfassen Beispielsweise den Entwurf undoder die Analyse elektrischer Schaltungen, die Erfassung elektrischer oder nichtelektrischer Signale undoder die Implementierung oder die Erweiterung von Signalverarbeitungsalgorithmen auf Signalprozessoren oder Computern in C oder Matlab. In diesem Rahmen koennen auch kleinere praktische Aufgaben bearbeitet werden."
uebergangspraktikum Elektronik,"4, 9","Aufbauend auf dem Grundlagenwissen der Schaltungstechnik, Mikroprozessortechnik und Elektronik koennen die Studierenden die theoretischen Grundlagen zur Entwicklung systemelektronischer Baugruppen praktisch umzusetzen. Sie beherrschen die Grundlagen elektronischer Systeme, sind in der Lage, die notwendigen Berechnungen durchzufuehren und kennen die Methoden zum Entwurf, Dimensionierung und zur Systemintegration um elektronische Systeme praktisch aufzubauen zu dimensionieren und zu vermessen. Das Modul vermittelt ueberwiegend: Fachkompetenz 33% Methodenkompetenz 34% Systemkompetenz 33% Im Praktikum werden die in der Vorlesung Elektronik gelegten theoretischen Grundlagen analoger und digitaler elektronischer Komponenten und Systeme durch praktische Anwendungen vertieft. Konkrete Inhalte sind Operationsverstaerkerschaltungen, Filterschaltungen, Oszillatoren, PLL, AD-DA-Umsetzer, programmierbare Logik und Spezialgebiete aus der Mikroprozessortechnik. Das Praktikum beinhalten den praktischen Aufbau, die Dimensionierung und das Vermessen der in Vorlesung und uebung theoretisch erarbeiteten Schaltungen, und erweitern diese auf Anwendungsbeispiele und die dafuer notwendingen aenderungen. Optional besteht durch die zusaetzliche Wahl des Moduls „Projekt Elektronik“ die Moeglichkeit im Team mit ca. acht Personen in einem frei waehlbaren Projekt den Entwurf, Aufbau und Test eines elektronischen Systems in Hard- und Software durchzufuehren, wobei neben den fachlichen Inhalten auch die Teamarbeit und das Projektmanagement von Bedeutung sind."
Programmierpraktikum Kommunikationstechnologien,"4, 9, 11","Die Studierenden haben praktische Erfahrung bei der Softwaretechnischen Umsetzung neuer Applikationen und Einsatzszenarien erlangt. Der Schwerpunkt liegt dabei vor allem auf modernen Systemen der drahtlosen Kommunikation, sowie die dabei eingesetzten Internetprotokolle und Anwendungen. Durch die Projektarbeit in Teams sind zusaetzlich Projektmanagement- und Sozialkompetenzen geschult worden. In der Veranstaltung werden grundlegende Konzepte der objektorientierten Softwareentwicklung anhand einer praktischen Aufgabe aus dem Bereich Kommunikationsnetze geuebt. Die in der Vorlesung Softwaretechnik und Programmierparadigmen ermittelten Konzepte zur Projektentwicklung und Softwaremodellierung, sowie die Konzepte und Themen aus der Vorlesung Rechnernetze und Verteilte Systeme werden hier angewendet. Im Rahmen des Projektes sollen mehrere Gruppen unabhaengig voneinander eine Anwendung mit Hilfe verschiedener Programmiersprachen (z.B. C++, Python, usw.) entwickeln. Dabei werden verschiedene Werkzeuge der Projektorganisation und Softwareentwicklung (z.B., SVN, git, usw.) angewendet."
Sichere Betriebsfuehrung grossskaliger erneuerbarer Energiesysteme und Stromnetze,"7, 9, 11, 13","Fuer das Jahr 2050 visiert die Europaeische Union (EU) eine Reduktion der CO2-Emissionen von 80 % bis zu 95 %. Dem massiven Anstieg und der Integration erneuerbarer Energien kommt in dieser Strategie eine Schluesselrolle zu. Ergebnisse des EU-Forschungsprojekts „eHighway2050“ zeigen, wie sich ein trans-europaeisches Netz zur Einbindung von Wasserkraft in Skandinavien, Windkraft in Deutschland und Solarenergie in Spanien und Italien entwickeln laesst, um die gruene Energie zum Kunden zu bringen. Alle EU-Laender bringen ihre Ressourcen ein. Dieser zukunftsweisende Plan schafft sowohl Chancen wie auch Herausforderungen fuer die Betriebsfuehrung eines umfassenden erneuerbaren Energiesystems europaeischer Dimension. Studierende erlernen passende und wichtige Grundlagen fuer diese grossskalige Integration erneuerbarer Energien. Es wird gezeigt wie diese grundlegenden Methoden in der Fuehrung von Energiesystemen Anwendung finden und moderne Technologien wie das Smart Grid, Elektromobilitaet und virtuelle Kraftwerke einbinden. Wir untersuchen zunaechst die Entwicklung des Stromnetzes zu einem europaeischen System und diskutieren Weiterentwicklungen zur grossflaechigen Einbeziehung erneuerbarer Energien. Als passenden Themen betrachten wir die Grundlagen fuer Modellbildung und Steuerung, inklusive der technischen Aspekte von Computermethoden der Leistungsflussberechnung, Datenmanagement und Netzsicherheit. Wie zeigen wie dieses Wissen bei der Formulierung und Findung von Loesungen weiterhilft, um eine grosse Anzahl erneuerbarer Energiequellen in das System zu integrieren. Die Vorlesungen werden durch ein Gruppenprojekt ergaenzt um ein gutes eigenes Verstaendnis zu foerdern."
"Computerbasierte Modellierung, Simulation, und Regelung Nachhaltiger Energiesysteme","7, 9, 11, 13","Energiesysteme befinden sich weltweit in einem tiefgreifenden Wandlungsprozess. Dies laesst sich schnell an einigen Beispielen festmachen: •	Auf fossile Brennstoffe angewiesene Kraftwerke werden durch Erneuerbare ersetzt und mit Speichern kombiniert. •	Im Jahrhundert-Rennen AC gegen DC sind ploetzlich moderne Gleichstromloesungen als Alternative zum Wechselstrom zurueck. •	Leistungselektronische Umrichter eroeffnen ganz neue Moeglichkeiten fuer extrem schnelle Regelungen. •	In Entwicklungslaendern entstehen Microgrids um Beduerfnisse wie das Laden von Mobiltelefonen oder Kuehlen lokal zu bedienen; aber gleichzeitig gibt es schon Plaene fuer ein weltumfassendes globales Stromnetz. •	Synergien unter verschiedenen Technologiesektoren schaffen neue Konzepte wie Vehicle-to-Grid oder Power-to-Gas. Dies sind signifikante Trends. Oder gibt es etwa noch bessere Alternativen? Wie stellen wir sicher, dass die entstehenden Systeme effizient und sicher sind? Was passiert im Fall eines Fehlers? Diese und aehnliche Fragen lassen sich nur beantworten wenn die entsprechenden Modelle fuer die computergestuetzte Analyse und Design der Energiesysteme verfuegbar sind. Aber was wissen wir ueber die Verfuegbarkeit geeigneter Modelle? Ein Teil der Antwort besagt, dass es einige gute Tools mit hilfreichen Modellen gibt. Der andere Teil der Antwort ist, dass noch viele Modelle fehlen und die Qualitaet bestimmter bestehender Modelle verbesserungswuerdig ist. In jedem Fall sind Kenntnisse ueber die rechnergestuetzte Modellbildung erneuerbarer Energiesysteme sehr wertvoll und zukunftstraechtig. Ingenieure und Wissenschaftler benoetigen dieses Wissen, um informierte Entscheidungen ueber erneuerbare Energiesysteme der Gegenwart und der Zukunft zu treffen. Es ist genau dieses Wissen, das in vorliegendem Modul vermittelt wird. Ein besonders wichtiger Teil der Modellbildung betrifft die Analyse des dynamischen Verhaltens der Energiesysteme. In Computerprogrammen werden dazu die dynamischen Zustandsgleichungen mittels numerischer Integration in diskreter Form dargestellt. Verschiedene numerische Integrationsmethoden existieren, und diese haben unterschiedliche Eigenschaften und ergeben so unterschiedliche Loesungen. Fuer die fachlich richtige Anwendung von Simulationstools sind daher grundlegende Kenntnisse der Simulationsmethoden von hoechster Bedeutung. Daher beginnt das Modul mit einer Einfuehrung in diese Thematik. Es zeigt sich, dass die korrekte Anwendung erhebliche Auswirkungen auf die Qualitaet der Loesung hat. Dies wird besonders auch im Zusammenhang mit der Echtzeitsimulation zum Testen von Regeleinrichtungen diskutiert. Studierende erkennen die Bedeutung in dem sie in den uebungen selbst ein kleines eigenes Simulationsprogramm fuer elektrische Netze entwickeln.  Besonders aufschlussreich ist die Modellbildung von Energieversorgungsnetzen mit sehr hohen Anteilen erneuerbarer Einspeisung von 60 %, 80 % oder sogar 100 %. Die vorhandenen leistungselektronischen Umrichter zur Wandlung von Gleichstrom in Wechselstrom koennen dann systemweit extrem schnell auf Fehler reagieren und regeln. Einige angestammte Simulationstechniken liefern bei solch hohen Durchdringungsraten erneuerbarer Energien falsche Ergebnisse. Im Modul wird gezeigt wie diese 100 % erneuerbaren Energiesysteme richtig simuliert werden. Ferner wird untersucht, neue Technologien wie Power-to-Heat in die Simulation einzubinden."
Analog Integrated Circuits,9,"Der kontinuierliche Fortschritt im Bereich der integrierten Schaltungen und Systemen erlaubt es, immer komplexere Funktionalitaet mit stetig steigenden Arbeitsgeschwindigkeiten in einem Systems-on-Chip Ansatz zu integrieren.  Das Grundlagenmodul „Analog Integrated Circuits“ befasst sich mit den analogen Konzepten und Grundschaltungen, die in integrierten analogen Schaltungen Anwendung finden. Im Rahmen eines praktisch orientierten Ausbildungsteils werden die Faehigkeiten selbstaendig Grundschaltungen zu entwerfen, zu simulieren und das Layout zu erarbeiten vermittelt. In diesem Kurs werden die folgenden Themen vermittelt: 1.	Design und Layout integrierter passive Bauelemente 2.	MOSFET Klein- und Grosssignalverhalten, Stabilitaet und Bodeplot  3.	MOSFET Grundschaltungen wie Stromspiegel, Common-Source Verstaerker, Common-Gate Verstaerker, Schaltungsrauschen 4.	Operationsverstaerker, Differenzstufe, Frequenzkompensation"
Digital Integrated Circuits (DIC),9,"Vermittlung fundierter Grundlagenkenntnisse ueber den gesamten Entwurfsprozess integrierter digitaler Schaltungen, Halbleiterbauelemente, Herstellungsprozess, Layout, Grundlagen des digitalen CMOS Schaltungsentwurfs (Gatter, Transmission Gates, Logikfamilien), Sequentielle Schaltungen, Arithmetische Schaltungen Die Lehrninhalte in diesem Kurs fokusieren sich auf das Design und die Realisierung hochkomplexer digitaler Schaltungen (ASICs), Mikroprozessoren, Memory, Speicher u.s.w.  1. MOS-Kondensator und Transistor Physik 2. CMOS-Herstellungsprozess, die Layouterzeugung 3. CMOS-Inverter-Design, Stromverbrauch, Laufzeit 4. CMOS Komplexgatter, 5. Logic Effort  6. Dynamische CMOS-Logik, Stromverbrauch, Laufzeitverzoegerung 7. CMOS Latches, CMOS-Register 8. Memory Zellen (SRAM, DRAM),"
Hot Topics in Communication Systems,"4, 9","Die Studierenden sind in der Lage, moderne Verfahren der Nachrichtentechnik zu verstehen, eigenstaendig zu analysieren und systematisch zu entwerfen. Durch die Vertiefung der vermittelten Grundprinzipien der Quellcodierung bzw. der Digitalen Nachrichtenuebertragung wird die Analyse und der Entwurf von Verfahren der Nachrichtentechnik durch die Studierenden auch anhand von Fallbeispielen praktisch nachvollzogen. Die Studierenden werden in der Analyse von Algorithmen der Nachrichtenuebertragung angeleitet, lesen wissenschaftliche Publikationen selbststaendig und fuehren eine umfassende Literaturrecherche zu einem gegebenen Thema durch. Die dabei gewonnenen Erkenntnisse werden in einem Abschlussvortrag praesentiert. "
Projekt Nachrichtenuebertragung,"4, 9","Die Studierenden sind in der Lage, moderne Verfahren der Nachrichtentechnik zu verstehen, eigenstaendig zu analysieren und systematisch zu entwerfen. Durch die Vertiefung der vermittelten Grundprinzipien der Quellcodierung bzw. der Digitalen Nachrichtenuebertragung wird die Analyse und der Entwurf von Verfahren der Nachrichtentechnik durch die Studierenden auch anhand von Fallbeispielen praktisch nachvollzogen und implementiert.  Die Studierenden werden in der Analyse von Algorithmen der Nachrichtenuebertragung angeleitet, lesen wissenschaftliche Publikationen selbststaendig und fuehren eine umfassende Literaturrecherche zu einem gegebenen Thema durch. Die dabei gewonnenen Erkenntnisse werden implementiert und sowohl in einem Zwischenvortrag als auch einem Abschlussvortrag praesentiert. "
Quellencodierung - Multimediasignalverarbeitung,"4, 9","Die Studierenden besitzen vertiefte Kenntnisse auf dem Gebiet der Datenkompression von Multimediasignalen. Sie koennen wissenschaftliche Fragestellungen Thesen in diesem Feld formulieren und systematisch Ergebnisse zur Validierung der These produzieren und veroeffentlichen. Sie sind befaehigt eigenstaendig Forschungsansaetze zu verfolgen und fremde wissenschaftliche Texte zu kritisieren. Die wachsende Nachfrage nach einer effizienten und zuverlaessigen uebertragung von Daten, Sprach-, Audio- und Bildsignalen stellt hohe Anforderungen an Nachrichtenuebertragungssysteme, insbesondere wenn, beispielsweise in Netzen fuer mobile Kommunikation, nur beschraenkte Bandbreiten zur Verfuegung stehen. Die Quellencodierung leistet darin einen wesentlichen Anteil, um die zu uebermittelnden Datenmengen zu reduzieren."
Digitale Nachrichtenuebertragung,"4, 9","Die Studierenden sind in der Lage, digitale Punkt-zu-Punkt-Verbindungen zu analysieren und selbststaendig zu entwerfen. Weiterhin erwerben sie die Voraussetzungen, um eigenstaendig neue Verfahren der digitalen Audio- und Bildsignalverarbeitung zu verstehen und zu bewerten. Durch die Vorlesung, uebung und das Laborpraktikum werden die Grundlagen der digitalen Nachrichtenuebertragung und -verarbeitung derart vertieft, dass die erworbenen Prinzipien durch die Studierenden auf Audio- oderund Bildsignale angewendet werden koennen. In den Pflichtveranstaltungen werden die Grundlagen der binaeren Basisbanduebertragung, binaere und hoeherwertige Modulation sowie die Funktionsweise bereits standardisierter digitaler uebertragungsstrecken vermittelt."
Digitale Nachrichtenuebertragung - Vertiefung,"4, 9","Die Studierenden sind in der Lage, moderne Verfahren der Datenkompression fuer Multimediasignale zu verstehen, eigenstaendig zu analysieren und systematisch zu entwerfen. Durch die Vertiefung der vermittelten Grundprinzipien der Quellcodierung wird die Analyse und der Entwurf von Verfahren der Multimediasignalanalyse sowie -codierung durch die Studierenden auch anhand von Fallbeispielen praktisch nachvollzogen. In den Veranstaltungen werden die bestehenden Kenntnisse aus dem Modul Digitale Nachrichtenuebertragung“ um die Verarbeitung und Analyse von digitalen Sprach- und Bildsignalen."
Spezielle Anwendungen der Feldsimulation,"4, 9","Die Studierenden besitzen tiefergehende Kenntnisse ueber aktuelle Simulationsansaetze fuer elektromagnetische Felder und deren Anwendung auf aktuelle Problemstellungen. Sie sind in der Lage, solche Simulationen mit aktuellen Verfahren einzuschaetzen und gegebenenfalls durchzufuehren. Das Modul vermittelt ausserdem die Grundkenntnisse, um solche Verfahren in spaeteren Projekten gezielt weiterentwickeln zu koennen. Das Modul beinhaltet eine Vertiefung von Ansaetzen der Feldsimulation. Die Themen beinhalten weiterfuehrende Grundlagen ebenso wie einige aktuelle Ergebnisse aus der Forschung. In der Veranstaltung IV Spezielle Anwendungen der Feldsimulation koennen Je nach Interesse der Studierenden ausgewaehlte Themen und Anwendungsgebiete behandelt werden, z.B. aus den Bereichen Magnetostatik, Magnetoquasistatik, Hochfrequenztechnik oder Optik."
Mathematische Methoden der Feldsimulation,"4, 9","Die Studierenden haben vertiefte Kenntnisse von Simulationsalgorithmen, mit einem Schwerpunkt auf deren mathematischen Grundlagen. Sie koennen geeignete Formulierungen und Loesungsverfahren auswaehlen, verstehen deren Eigenschaften und sind so in der Lage, Weiterentwicklungen im Bereich der Simulationsmethoden mit mathematischem Verstaendnis anzugehen. Mathematische EIgenschaften von Simulationsalgorithmen, u.a.: - Eigenschaften von Diskretisierungsverfahren - Bedeutung von Eigenloesungen und Spektralzerlegungen - algebraische Loesungsverfahren fuer Gleichungssystem und Eigenwertprobleme - theoretischer Hintergrund von Potentialformulierungen"
Projekt Elektromagnetische Feldsimulation,"4, 9","Die Studierenden koennen moderne state-of-the-art Simulationsoftware verwenden, um die elektromagnetischen Eigenschaften einzelner Komponenten oder groesserer Systeme zu analysieren oder ihr Design hinsichtlich dieser Eigenschaften zu verbessern. Sie koennen einschaetzen, welche Werkzeuge dafuer geeignet sind, wie gross der Aufwand an Rechenzeit und Speicherplatz ist und welche Simulationsgenauigkeiten erreichbar sind. Abhaengig vom jeweiligen Projekt erlernen sie auch, Teile solcher Software durch eigene Implementierungen zu verbessern oder zu ergaenzen. Die Ergebnisse koennen in schriftlicher Form und in einer Praesentation dargestellt werden. Bearbeitung einer elektromagnetischen Designaufgabe mit kommerzieller Software undoder eigenen Implementierungen. Einarbeitung in das Thema, Ansteuerung und effizienter Einsatz der Simulationswerkzeuge, Interpretation und Darstellung der Ergebnisse. Betreut von Mitarbeitern des Fachgebiets wird das Projekt in kleinen Teams waehrend des Semesters bei weitgehend eigener Zeiteinteilung bearbeitet. Schwerpunkt ist auch die Praesentation der Ergebnisse (2 Vortraege und Ausarbeitung)."
Projekt Mathematische Methoden der Feldsimulation,"4, 9","Die Studierenden koennen moderne state-of-the-art Simulationsoftware verwenden, um die elektromagnetischen Eigenschaften einzelner Komponenten oder groesserer Systeme zu analysieren oder ihr Design hinsichtlich dieser Eigenschaften zu verbessern. Sie koennen einschaetzen, welche Werkzeuge dafuer geeignet sind, wie gross der Aufwand an Rechenzeit und Speicherplatz ist und welche Simulationsgenauigkeiten erreichbar sind.  Bei diesem Projekt liegt der Schwerpunkt auf eigenen Implementierungen von Teilen der Simulationskette bzw. einer effizienten Zusammenstellung gegebener Algorithmen. Die Ergebnisse koennen in schriftlicher Form und in einer Praesentation dargestellt werden. Implementierung von Algorithmen oder Teilen davon im Zusammenhang mit elektromagnetischer Feldsimulation.Einarbeitung in das Thema, Ansteuerung und effizienter Einsatz von einschlaegigen Werkzeugen oder Bibliotheken, Interpretation und Darstellung der Ergebnisse. Betreut von Mitarbeitern des Fachgebiets wird das Projekt in kleinen Teams waehrend des Semesters bei weitgehend eigener Zeiteinteilung bearbeitet. Schwerpunkt ist auch die Praesentation der Ergebnisse (2 Vortraege und Ausarbeitung)."
Elektromagnetische Wellen,"4, 9","Die Studierenden verfuegen ueber ein vertieftes Verstaendnis fuer elektromagnetische Felder und Wellen. Mit den erlernten Methoden sind sie in der Lage, elektromagnetische Probleme in den verschiedensten Fachgebieten der Elektrotechnik zu verstehen und zu behandeln. Das Modul beinhaltet die vertiefte Behandlung elektromagnetischer Felder und Wellen. Dies wird in vielen Teilgebieten der Elektrotechnik benoetigt, wie z.B. bei Hoch- und Hoechstfrequenztechnik, Mikroelektronik, Mikrosystemtechnik, Nachrichtenuebertragung, Antennen, Elektromagnetische Vertraeglichkeit, usw."
Theorie elektromagnetischer Felder und Wellen,"4, 9","Die Studierenden verfuegen ueber ein vertieftes Verstaendnis fuer elektromagnetische Felder und Wellen. Mit den erlernten Methoden sind sie in der Lage, elektromagnetische Probleme in den verschiedensten Fachgebieten der Elektrotechnik zu verstehen und zu behandeln. Das Modul beinhaltet die vertiefte Behandlung elektromagnetischer Felder und Wellen. Dies wird in vielen Teilgebieten der Elektrotechnik benoetigt, wie z.B. bei Hoch- und Hoechstfrequenztechnik, Mikroelektronik, Mikrosystemtechnik, Nachrichtenuebertragung, Antennen, Elektromagnetische Vertraeglichkeit, usw."
Betriebsmittel hochspannungstechnischer Anlagen,"9, 11","Absolventen dieses Moduls haben ein grundlegendes Verstaendnis fuer die Betriebsmittel, die Funktionsweise und den Betrieb von energietechnischen Anlagen und Systemen sowie deren infrastrukturelle und wirtschaftliche Bedeutung erworben. In der Vorlesung „Betriebsmittel hochspannungstechnischer Anlagen“ werden Grundlagen zu Kabeln, Freileitungen, Transformatoren, Strom- und Spannungswandlern, Schaltanlagen und Schutzgeraeten behandelt."
Bahnsysteme und ihre Energieversorgung,"9, 11","Nach erfolgreicher Teilnahme koennen die Studierenden selbstaendig und ganzheitlich Probleme im Bereich der Bahnsystems loesen. Weiterhin koennen sie Ergebnisse ihrer Arbeit praesentieren. Durch die Inhalte der Vorlesung werden Bereiche der Bahnsysteme und industrielle Anwendungen vertieft. In der Vorlesung „Bahnsysteme und ihre Energieversorgung werden die Themenschwerpunkte traktionstechnische und energiewirtschaftliche Grundlagen, Systeme und Komponenten der Bahnstromversorgung, Unterwerke fuer Gleich- und Wechselstrom, Fahrleitung und Stromschienen, Erdungsfragen und EMC, neue Bahnsysteme (Magnetbahn) und Automatisierungs- und Zugsicherungstechnik behandelt."
Entwicklung verteilter eingebetteter Systeme,"4, 9, 11","Absolventen dieses Moduls sind in der Lage sich in praxisnahe Themen einzuarbeiten und diese fuer die Praesentation vor ihren Kommilitonen aufzubereiten. Weiterhin haben Sie Kenntnisse in einer Reihe praxisrelevanter Problemstellungen und Herangehensweisen erlangt. Dieses Modul wird von Prof. Dr. Matthias Weber (matthias.weber@cariad.technology) durchgefuehrt.  Die zunehmende Komplexitaet und Vernetzung moderner eingebetteter Systeme stellt neue Herausforderungen an die Software- und Systementwicklung. Das betrifft sowohl die Entwicklung des Endprodukts selbst als auch die Entwicklungsinfrastruktur zur Entwicklung des Endprodukts. Im Seminar sollen aktuelle Fragestellungen und Herausforderungen aus der Praxis aufgegriffen und von den Studierenden vorgestellt und diskutiert werden. Die Einzelthemen koennen dabei von sehr praxisnahen Themen ueber Fragen der modellbasierten Entwicklung bis hin zu mathematisch-theoretischen Themen und formalen Methoden reichen. Das Seminar konzentriert sich auf den Automobilbereich, viele Themen lassen sich jedoch auch auf andere Gebiete industrieller Entwicklung eingebetteter Systeme anwenden. Die Einzelthemen werden in Abhaengigkeit des aktuellen Stands der Softwareentwicklung im Automobilbereich definiert, so dass staendig neue Themen aufgegriffen werden."
Hochspannungspruef- und -messtechnik,9,"Die Studierenden sind in der Lage, Problemstellungen der Hochspannungstechnik auf dem aktuellen Stand der Forschung eigenstaendig, nachhaltig und ganzheitlich zu loesen und die Ergebnisse zu praesentieren. Durch das Arbeiten in der IV wird zusaetzlich die Faehigkeit zur Teamarbeit gestaerkt. Die integrierte Veranstaltung „Hochspannungspruef- und -messtechnik vermittelt einen ueberblick ueber fortschrittliche Pruef- und Diagnosetechnik. Wie z.B. Strommessung, EMV, Hochleistungspruefung, TE-Diagnostik, Vor-Ort-Pruefung und Monitoring. Die Pruef- und Messtechnik im Hochspannungsbereich dient einer nachhaltigen und langlebigen Funktion hochspannungstechnischer Betriebsmittel."
Elektrische Isolierstoffe,"9, 12","Nach erfolgreichem Abschluss des Moduls sind die Studierenden in der Lage, Problemstellungen der Hochspannungstechnik auf dem aktuellen Stand der Forschung eigenstaendig und ganzheitlich zu loesen und die Ergebnisse zu praesentieren. Durch die Inhalte der Vorlesung werden einzelne Bereiche der Hochspannungstechnik und industriellen Anwendungen vertieft. Die Vorlesung „Elektrische Isolierstoffe beschaeftigt sich mit Funktionswerkstoffen, die in der Hochspannungstechnik Anwendung finden. Schwerpunkte sind metallische Werkstoffe, dielektrische Werkstoffe nichtlineare Werkstoffe, magnetische Werkstoffe, Supraleiter und Nanowerkstoffe."
