titelde,SDGs,Descriptions
Einführung in die Medieninformatik,"4,9,17","Lehrergebnisse: Die Studierenden haben - ein Verständnis des Themenfeldes Medieninformatik als interdisziplinäres Forschungs- und Entwicklungsfeld für die Informations- und Kommunikationstechnologien; - Grundkenntnisse der Medien und Modalitäten sowie ihrer praktischen Umsetzung zur zwischenmenschlichen Kommunikation und zur Mensch-Maschine-Interaktion; - Kenntnisse der Gestaltungsprozesse von Mediensystemen; - Fähigkeiten in der praktischen Umsetzung der o.a. Kenntnisse zur Gestaltung beispielhafter Systeme durch Programmierung; - Kompetenzen in der Darstellung des Erlernten gegenüber anderen. - Grundlegende Fähigkeiten der Programmierung sowie der Bearbeitung von Audio- und Bilddateien durch selbstgeschriebene Programme
Lehrinhalte: Grundbegriffe; Medien; Modalitäten; Kodes; Audio; gesprochene/geschriebene Sprache; Bilder; Video; Grafik; Haptik; Multimedia und Multimodalität; Gestaltungsprozesse; Standards; Grundlagen der Programmierung."
Praktikum: Intelligente Softwaresysteme,"4,9,17","Lehrergebnisse: Absolventen und Absolventinnen des Moduls ... - haben Methoden der Softwaretechnik praktisch anhand einer komplexen Aufgabenstellung erprobt, - haben Teamerfahrungen gesammelt und ihre Teamfähigkeiten verbessert, - haben Qualitätssoftware mit modernen Werkzeugen der Softwareentwicklung implementiert.
Lehrinhalte: Programmierpraktikum: Eine praxisnahe, aktuelle Aufgabenstellung wird softwaretechnisch umgesetzt.  Einsatz moderner Softwareentwicklungs-, Kommunikations- und Projektmanagement-Werkzeuge in einem iterativen / agilen Entwicklungsprozess. Software-Analyse und -Design, Implementierung, Dokumentation, Evaluation und Test.  Zwischenpräsentationen und Abschlusspräsentation."
Grundlagen der Kommunikationswissenschaft,"4,9,16,17","Lehrergebnisse: Die Studierenden haben einen Überblick über die Publizistik- und Kommunikationswissenschaft (Entwicklung und Systematik des Faches, seiner Forschungsfelder und Teildisziplinen, Grundzüge der Kommunikationsgeschichte, Kommunikations- und Medientheorien, Theorien der Öffentlichkeit). Darüber hinaus sind sie befähigt, sich im fachlichen Zusammenhang zu orientieren, grundlegende kommunikations- und medientheoretische Fragen zu erkennen bzw. zu analysieren sowie Ansätze und Problemstellungen der Publizistik- und Kommunikationswissenschaft nachzuvollziehen und besitzen Kenntnisse über die historischen, ökonomischen, politischen und rechtlichen Strukturen und Mechanismen, die das deutsche Mediensystem bestimmen.
Lehrinhalte: Das Modul führt überblicksartig in die Fachsystematik und -entwicklung, die zentralen Grundbegriffe und -konzepte (Kommunikation, Medien, Öffentlichkeit) sowie Teildisziplinen und Forschungsfelder der Publizistik- und Kommunikationswissenschaft ein. Es gibt außerdem einen Überblick über die Geschichte und die Strukturen des Mediensystems unter besonderer Berücksichtigung der Verflechtung von Ökonomie, Politik, Recht und Kultur. Dabei werden die technische Infrastruktur einzelner Medien (Presse, Rundfunk, Film, Fernsehen), konvergente Entwicklungen (Digitalisierung, Medienintegration, Medienkonzentration), die Herausbildung unterschiedlicher Medien- und Kommunikationskulturen sowie die gesellschaftlichen Metaprozesse (Globalisierung, Individualisierung) behandelt."
"Methoden: Wissenschaftstheoretische Grundlagen, Datenerhebung und Statistik","4,9,10,16,17","Lehrergebnisse: Studentinnen und Studenten verfügen über Grundkenntnisse wissenschaftstheoretischer Positionen und grundlegender Begriffe sozialwissenschaftlicher Methodologie. Sie kennen den Stellenwert quantitativer und qualitativer Erhebungstechniken im sozialwissenschaftlichen Forschungsprozess. Darüber hinaus haben Sie Kenntnis von Grundbegriffen, Methoden und Verfahren der statistischen Datenanalyse in der Markt-, Meinungs-, PR-Evaluations- und Medienforschung.
Lehrinhalte: Das Modul bietet eine Einführung in die Grundlagen und Verfahren der sozialwissenschaftlichen Kommunikations- und Medienforschung. Nach einem Überblick über die erkenntnistheoretischen Grundlagen sozialwissenschaftlicher Forschungslogik werden die Arbeitsschritte des Forschungs-prozesses (Begriffs- und Hypothesenbildung, Operationalisierung, Messung, Stichprobenverfahren), ausgewählte Verfahren der Datenerhebung (Befragung, Inhaltsanalyse, Beobachtung) sowie unterschiedliche Forschungsdesigns vorgestellt und anhand von Beispielstudien aus der Forschungsliteratur diskutiert.  Es wird in die Logik der mathematischen Statistik als Grundlage ihrer Anwendung in der empirischen Kommunikationsforschung eingeführt. Vor dem Hintergrund der grundlegenden Verfahren und messtheoretischen Voraussetzungen der Erhebung und Auswertung sozialwissenschaftlicher Daten werden zunächst die wichtigsten univariaten und bivariaten Maßzahlen der deskriptiven Statistik vorgestellt. Im Mittelpunkt steht die Einführung in die wahrscheinlichkeitstheoretischen Grundlagen statistischer Stichproben- und Schätzverfahren, insbesondere die schließende Statistik und die Logik und Anwendung statistischer Testverfahren."
Projekt Medienerstellung (5 LP),"4,9,12,17","Lehrergebnisse: Die Studierenden haben: - Fähigkeiten, technisches und sozialwissenschaftliches Wissen in konkreten Anwendungsbezügen zu verknüpfen, um praktische Probleme der digitalen Medienproduktion zu bearbeiten - Praktische Kenntnisse bei der Konzeption, Gestaltung, Erstellung und Bearbeitung von Medien - Praktische Kenntnisse bei der Konzeption, Gestaltung und Erstellung von Mediensystemen - Praktische Kenntnisse bei der Evaluierung von Mediensystemen - Praktische Erfahrung bei der Arbeit in interdisziplinär zusammensetzten Teams - Fähigkeiten bei der Darstellung des erarbeiteten Stoffs an andere - Praktische Kenntnisse des Projektmanagements und praktische Erfahrung der Projektorganisation
Lehrinhalte: Im Modul entwickeln die Studierenden unter Rückgriff auf die Studieninhalte digitale Medien. Dabei werden sowohl die Informatik-Kompetenzen wie auch gestalterische und analytisch-sozialwissenschaftliche Kompetenzen eingesetzt. Das Projekt beinhaltet hierzu die komplette Erstellung eines digitalen Mediums von der Konzeption, Gestaltung, Aufnahme, und Post-Produktion bis zur Evaluation. Die jeweilige Projektaufgabe wird jedes Semester neu definiert und in einem Team mit interdisziplinären Kompetenzen gelöst. Dabei steht eine Vielzahl aus verschiedenen Projekt zur Wahl. Die meisten der angebotenen Projekte beziehen Nachhaltigkeitsaspekte mit ein, jeweils im Rahmen der spezifischen Frage- oder Aufgabenstellung. Das Team organisiert sich selbstständig; eine regelmäßige Betreuung wird durch die Dozenten garantiert. Abschließend erfolgt eine Präsentation des Projektergebnisses und die Abgabe der Projektunterlagen."
Wissenschaftliches Arbeiten in der Medieninformatik,"4,5,9,17","Lehrergebnisse: Die Studierenden verfügen über Fähigkeiten und Fertigkeiten des kommunikationswissenschaftlichen Arbeitens, die sie qualifizieren, eigenständig wissenschaftliche Referate, Präsentationen und Hausarbeiten anzufertigen und im Rahmen des Seminars vorzustellen.
Lehrinhalte: Im Modul werden die fachspezifischen Techniken des kommunikationswissenschaftlichen Arbeitens vermittelt. Die Studierenden werden durch eigene Übungen in die Lage versetzt, Referate, Präsentationen, und wissenschaftliche Hausarbeiten methodisch und formal korrekt anzufertigen. Es werden neben allgemeinen Arbeitstechniken (Zeitplanung, Entwicklung von Gliederungen, formale Regeln etc.) vor allem fachspezifische Kenntnisse der Recherchewege und -ressourcen (Datenbanken, Bibliotheken, Bibliographien, Fachzeitschriften) vermittelt. Dabei werden auch Aspekte gendergerechter Kommunikation thematisiert. Im Rahmen dieses Moduls sollen sie an das Format einer wissenschaftlichen Hausarbeit herangeführt werden."
Methoden der empirischen Kommunikationsforschung,"4,9,17","Lehrergebnisse: Die Studierenden verfügen über vertiefte, anwendungsbezogene Kenntnisse kommunikationswissenschaftlicher Methodologie. Sie haben instrumentelles Wissen, um Forschungsdesigns und Techniken der Datenerhebung der empirischen Kommunikations- und Medienforschung problemgerecht einzusetzen. 
Lehrinhalte: Im Modul entwickeln die Studierenden ein eigenes Forschungsprojekt, das die Anwendung der erlernten Methoden der Datenerhebung (Befragung, Beobachtung, Inhaltsanalyse etc.) sowie der statistischen Datenanalyse erlaubt. Die einzelnen Projektschritte werden im Seminar diskutiert, der angemessene Einsatz der jeweiligen Methoden und deren Grenzen werden dabei kritisch reflektiert."
Interdisziplinäres Medienprojekt,"4,9,17","Lehrergebnisse: Die Studierenden besitzen: - Fähigkeiten, technisches und sozialwissenschaftliches Wissen in konkreten Anwendungsbezügen zu verknüpfen, um praktische Probleme der digitalen Medienproduktion oder Medienanalyse zu bearbeiten - Kenntnisse bei der Bearbeitung medieninformatischer Systeme, inklusive der Teilbereiche Informatik, Medienkommunikation und Medientechnik. - Kenntnisse bei der praktischen Realisierung von Mensch-Maschine-Schnittstellen. - Praktische Kenntnisse bei der Gestaltung von Mediensystemen. - Praktische Kenntnisse von Gestaltungs- und Entwicklungsprozessen von Mediensystemen. - Praktische Kenntnisse bei der Evaluierung von Mediensystemen. - Praktische Erfahrung bei der Arbeit in interdisziplinär zusammensetzten Teams. - Fähigkeiten bei der Darstellung des erarbeiteten Stoffs an andere.
Lehrinhalte: Im Modul entwickeln die Studierenden unter Rückgriff auf die Studieninhalte Lösungen für technische und/oder sozialwissenschaftliche Probleme im Zusammenhang mit digitalen Medien. Dabei werden sowohl die Informatik-Kompetenzen wie auch die analytischen sozialwissenschaftlichen Kompetenzen eingesetzt. Das Projekt beinhaltet hierzu eine Aufgabe aus dem Bereich der Konzeption, Entwicklung und/oder Nutzung eines Systems zur Gestaltung, Aufnahme, Übertragung und/oder Darstellung von Medien, welche jedes Semester neu definiert wird. Diese Aufgabe soll in einem Team mit interdisziplinären Kompetenzen gelöst werden. Das Team organisiert sich selbstständig; eine regelmäßige Betreuung wird durch die Dozenten garantiert. Abschließend erfolgt eine Präsentation des Projektergebnisses und eine schriftliche Ausarbeitung."
Medienwirkung und Öffentlichkeit,"4,9,16","Lehrergebnisse: Die Studierenden haben einen systematischen und fachgeschichtlich fundierten Überblick über wesentliche Fragestellungen, Untersuchungsansätze und Befunde der empirischen Kommunikations- und Medienforschung. Sie sind in der Lage, Forschungsarbeiten kritisch zu reflektieren und die Relevanz verschiedener theoretischer und methodischer Zugänge zu bewerten.
Lehrinhalte: Das Modul gibt einen Überblick über Fragestellungen, Theorien und Ergebnisse der sozialwissenschaftlichen Kommunikationsforschung. Ausgehend von den historischen und systematischen Grundlagen der Kommunikationswissenschaft werden theoretische Modelle der Massenkommunikation und Öffentlichkeit präsentiert und analysiert und die verschiedenen Fragestellungen und Untersuchungsansätze der empirischen Kommunikationsforschung diskutiert, insbesondere Medienwirkungs- und Mediennutzungsforschung, sowie die Funktionen der Medien im Rahmen politischer Thematisierungsprozesse und bei der Konstitution gesellschaftlicher Öffentlichkeit."
Journalismusforschung und Organisationskommunikation,"4,5,8,10,16","Lehrergebnisse: Die Studierenden sind in der Lage, Strukturen und Prozesse in den Bereichen Journalismus und Organisationskommunikation analytisch zu beschreiben und methodisch zu analysieren.
Lehrinhalte: Das Modul vermittelt einen Überblick über Fragestellungen, Theorien und Befunde in den Forschungsbereichen Journalistik und Organisationskommunikation. Behandelt werden Probleme der Informationsvermittlung durch das Mediensystem, insbesondere Probleme der Informationsbeschaffung (Recherche/Thematisierung) und der Informationsbearbeitung (Transformation/Selektion/Diffusion) durch Nachrichtenagenturen, Radio, Fernsehen, Presse und interaktive Medien sowie Ansätze zum Verhältnis von Journalismus und Öffentlichkeitsarbeit. Dabei wird das Verhältnis von professioneller und partizipativer Kommunikation analysiert. Es werden theoretische Modelle und empirische Befunde zu den Berufsfeldern Journalismus und Organisationskommunikation/PR beleuchtet. Eingebunden ist die Analyse von Geschlechter- und Diversity-Strukturen in diesen Berufsfeldern. Weiter werden theoretische Ansätze und empirische Studien zu Voraussetzungen, Prozessen und Wirkungen der internen und externen Kommunikation von Organisationen dargestellt."
Bild- und Videocodierung,"9,4,12,17","Lehrergebnisse: Die Studierenden sind in der Lage, moderne Verfahren der Bild- und Videocodierung einschließlich der Grundlagen zum menschlichen visuellen System, Kameras und Displays, Bild- und Videosignalverarbeitung, der Informations- und Rate-Distortion-Theorie und der Kompression zu verstehen und weiter zu entwickeln. 
Lehrinhalte: Digitale Bild- und Videodaten sind omnipräsent und stellen die größte Anzahl von Bits im Internet. Die Codierung dieser Signale ist ein fundamental wichtiges Thema welches unter Einbeziehung von interdisziplinären Ansätzen bearbeitet wird. Daher werden in diesem Modul die Themen folgende Themen behandelt: •	Kameras, Displays und das menschliche visuelle System •	Bild- und Videosignalverarbeitung •	Informations- und Rate-Distortion-Theorie •	Grundlagen der Kompression •	Moderne Verfahren der Bild- und Videocodierung •	Bild- und Videocodierstandards: JPEG-x, MPEG-x und ITU-T (H.26x) "
Rechnernetze - Ergänzung,"4,9,11,17","Lehrergebnisse: Die Studierenden erlangen in Vergleich zu dem Pflichtmodul Rechnernetze und Verteilte Systeme vertiefende Kenntnisse über Kommunikationsnetze. Insbesondere erlernen Sie Details einzelner Protokollmechanismen und bekommen ein Verständnis unterschiedlicher Rechnernetzarchitekturen. Durch das begleitende Praktikum haben sie für ausgewählte Protokollmechanismen vertiefende Kenntnisse erlangt.
Lehrinhalte: * Kurzer Überblick über die Grundlagen der Nachrichtentechnik (Kanaleigenschaften, analoge und digitale Übertragung), Bitsynchronisation, * Telefonnetze * Das ISO-OSI Schichtenmodell, Protokollmechanismen (vertiefung) * Fehlererkennung und -behebung, Flusskontrolle, Packet-Framing, Mehrfachzugriffsverfahren, Medium Access Control, MAC) - detalierte Behandlung * Local Area Network (LAN)-Technologien, insbesondere die Familie der 802.x-Protokolle wie z.B. Ethernet und Wireless LAN - detaliert * Link Layer Protokolle (HDLC), Bridging * Verbindungsmanagement, Flusskontrolle und Überlastabwehr * Vergleich der Internet-Architektur mit der Telefonnetzarchitektur * Dienstqualitätsunterstützung in Paketbasierten Netzen * Multimedia Übertragung"
Kommunikationsnetze,"9,11,4,17","Lehrergebnisse: Die Studierenden haben in diesem Modul einen Überblick über die grundlegende Problematik der Kommunikationsnetze erhalten und kennen nun die für Kommunikationsnetze wichtigen Protokollmechanismen. Weiterhin haben die Studierenden gelernt, alternative Protokollarchitekturen und deren spezielle Ausprägungen wie sie in Telefonnetzen, lokalen Netzen, Internet und Anwendungsdiensten verwendet werden, detailliert zu verstehen und analysieren.
Lehrinhalte: * Grundkonzepte der Kommunikation   * Kurzer Überblick über die Grundlagen der Nachrichtentechnik (Kanaleigenschaften, analoge und digitale Übertragung), Bitsynchronisation,   * Leitungs- und Paketvermittlung, Multiplexverfahren  * Telefonnetze  * Das ISO-OSI Schichtenmodell, Protokollmechanismen  * Fehlererkennung und -behebung, Flusskontrolle, Packet-Framing, Mehrfachzugriffsverfahren, Medium Access Control, MAC)  * Local Area Network (LAN)-Technologien, insbesondere die Familie der 802.x-Protokolle wie z.B. Ethernet und Wireless LAN  * Link Layer Protokolle (HDLC), Bridging  * Aufbau großer Netze aus Teilnetzen, Weiterleiten von Paketen, Wegewahl (Routing) von Paketen  * Verbindungsmanagement, Flusskontrolle und Überlastabwehr  * Das Internet, Architektur und Protokolle im Internet  * Dienstqualitätsunterstützung in Paketbasierten Netzen  * Einheitliche Darstellung von Information in heterogenen Systemen, Nutzung entfernter Rechner (Remote Procedure Call)   * Applikationsdienste und -protokolle: Web, Multimedia, Übertragung"
Geschäftsprozesse,"9,12,17","Lehrergebnisse: Die Studierenden sind nach erfolgreichem Abschluss des Moduls in der Lage, - Geschäftsprozessmanagement zu definieren und zu erklären, - Geschäftsprozesse mithilfe von BPMN und DMN zu modellieren und zu dokumentieren, - Geschäftsprozesse zu verifizieren mithilfe der Soundness-Analyse, - Prozessanalyse- und Prozessverbesserungstechniken zu erklären, - Geschäftsprozesse in einer BPMN-Prozessengine zu automatisieren, - Process Mining zu erklären und ausgewählte Process Discovery und Conformance-Techniken anzuverwenden.
Lehrinhalte: - Grundlagen und Begriffe, - Klassifikation und Lebenszyklus von Geschäftsprozessen, - BPMN 2.x, DMN 1.x, - Petrinetze und Überführung von BPMN zu Petrinetzen, - Prozessverifikation mit Soundnesskriterien, - Prozess aufnehmen, analysieren und verbessern, - Prozessautomatisierung mit und ohne Prozessengine/Low Code Plattform, - Einführung in Process Mining."
Elektromagnetische Feldsimulation,"7,9,13,17","Lehrergebnisse: Die Studierenden besitzen tiefergehende Kenntnisse über aktuelle Simulationsansätze für elektromagnetische Felder und deren Anwendung auf aktuelle Problemstellungen. Sie können das Potential und die Grenzen solcher Simulationsverfahren einschätzen, die für eine bestimmte Problemstellung am besten geeignete Methode auswählen und verstehen deren wichtigste Parameter. Die Ergebnisse von Simulationen können bezüglich ihrer Validität und des Fehlerverhaltens eingeordnet werden.
Lehrinhalte: Das Modul beinhaltet eine Einführung und Vertiefung von Ansätzen der Feldsimulation mit Schwerpunkten auf finiten Methoden (Finite Integration, Finite Elemente), Anwendung professioneller Simulationstools, Einsatz einschlägiger Werkzeuge der numerischen Mathematik. Die Anwendungen bewegen sich auf allen Gebieten der Elektrotechnik, mit einem Fokus auf der Simulation von Wellenphänomenen."
Automatisierungstechnische Methoden in der Medizin,"3,9,10,17","Lehrergebnisse: Die Studierenden haben vertiefte regelungs- und medizintechnische Kenntnisse und sind nach erfolgreichem Abschluss in der Lage, automatisierungstechnische Aufgabenstellungen im Bereich der Medizin zu bearbeiten. 
Lehrinhalte: Die Automatisierungstechnik leistet vor allem mit ihren methodischen Ansätzen Systemanalyse, Steuerung, Regelung, Optimierung und Systemsynthese entscheidende Beiträge zu neuartigen Therapieerfolgen in der Medizin. Diese Vorlesung beschreibt die Wiederherstellung menschlicher Funktionssysteme durch technische Systeme. Ebenso behandelt werden übergeordnete Gesichtspunkte biomedizinischer Systeme. - Automatisierte Therapiesysteme: Methoden und Zielsetzungen - Regelkreise des menschlichen Körpers  - Elektrotherapie des Herzens mittels Herzschrittmacher  - Elektrotherapie des Herzens mittels Defibrillatoren  - Kreislaufunterstützungssysteme und Künstliches Herz  - Beatmungstechnik  - Narkosetechnik  - Herz-Lungen-Maschine und extrakorporale Membranoxygenierung  - Dialysetechnik  - Temporäre Leberunterstützung  - Artifizielles Pankreas  - Funktionelle Elektrostimulation nach Querschnittlähmung und Schlaganfall - Verfahren in der neurologischen Bewegungstherapie "
Automatisierungstechnische Methoden in der Medizin,"3,9,10,17","Lehrergebnisse: Die Studierenden verfügen über fundierte Kenntnisse der Steuerungs- und Medizintechnik, die sie durch verschiedene in der Vorlesung vorgestellte Anwendungsbeispiele vermittelt bekommen haben. In den Übungen wurden die erworbenen Kenntnisse in der Praxis angewandt und es wurden konkrete regelungstechnische Anwendungen realisiert. Somit sind die Studierenden nach erfolgreichem Abschluss des Moduls in der Lage, Automatisierungsaufgaben im Bereich der Medizin zu bearbeiten.
Lehrinhalte: Die Automatisierungstechnik leistet vor allem mit ihren methodischen Ansätzen Systemanalyse, Steuerung, Regelung, Optimierung und Systemsynthese entscheidende Beiträge zu neuartigen Therapieerfolgen in der Medizin. Diese Vorlesung beschreibt die Wiederherstellung menschlicher Funktionssysteme durch technische Systeme. Ebenso behandelt werden übergeordnete Gesichtspunkte biomedizinischer Systeme. - Automatisierte Therapiesysteme: Methoden und Zielsetzungen - Regelkreise des menschlichen Körpers  - Elektrotherapie des Herzens mittels Herzschrittmacher  - Elektrotherapie des Herzens mittels Defibrillatoren  - Kreislaufunterstützungssysteme und Künstliches Herz  - Beatmungstechnik  - Narkosetechnik  - Herz-Lungen-Maschine und extrakorporale Membranoxygenierung  - Dialysetechnik  - Artifizielles Pankreas  - Funktionelle Elektrostimulation nach Querschnittlähmung und Schlaganfall - Rehabilitationsrobotik - Bewegungsanalyse"
Angewandte Logiken,"4,9,16,17","Lehrergebnisse: Absolvent*innen des Moduls sind in der Lage, die eingeführten Logiken und Konzepte in der formalen Modellierung konkreter Anwendungsfälle einzusetzen.
Lehrinhalte: Basierend auf den zentralen Konzepten der Logik beschäftigen wir uns im Seminar mit verschiedenen weiterführenden Logiken und ihren Anwendungen. Dies umfasst sowohl klassische Begriffe der Modallogik und deren Relevanz in der Informatik, als auch Zeitlogiken und deren Anwendungen. Wir beschäftigen uns weiterhin mit Logiken zur formalen Modellierung von Wissen und Prozessen der Wissensveränderung. Auch spielt die (automatisierte) Verifikation modellierter Prozesse mittels Model Checking Verfahren eine wichtige Rolle. Weiterhin führen wir intensionale Logiken der sogenannten Epsilon-Familie ein. Hierzu zählen spezielle alternative Mengentheorien, die insbesondere eine Selbstbezüglichkeit modellieren lassen sowie Logiken, in deren Semantik explizit der Sinn einer Formel und nicht nur ihr Wahrheitswert betrachtet und verwendet werden kann. Alle Logiken werden hinsichtlich ihrer konkreten Anwendbarkeit im Rahmen der Informatik untersucht."
Systemidentifikation und Regelung in der Medizin,"3,4,9,17","Lehrergebnisse: Diese Lehrveranstaltung vermittelt wichtige Grundlagen der experimentellen Systemidentifikation. Weiterhin wird der Entwurf von digitalen Reglern basierend auf den gewonnenen Modellen behandelt, wobei der Schwerpunkt auf Polynom-Reglerentwurfsverfahren mit Transferfunktionen liegt. Die vermittelten Methoden werden in Form von Computerübungen in der integrierten Lehrveranstaltung an Anwendungsbeispielen aus der Medizin vertieft. Betrachtete Anwendungsbeispiele aus der Medizin sind die Regelung von Neuroprothesen, die Blutzuckerregelung und die Anästhesieautomatisierung.
Lehrinhalte: - Einführung in die Systemidentifikation und Regelung in der Medizin - Lineare Regression, RLS - Kalman Filter, Erweiterter Kalman Filter  - Einführung in Matlab und Simulink - Lineare dynamische Systeme, Prädiktion, Diophantische Gleichung - Prädiktionsfehlermethode - Modellvalidierung und Modellstrukturbestimmung - Testsignale (z.B. PRBS) - Modell-prädiktive Regelung - Polvorgabe und LQG unter Verwendung von Transferfunktionsmodellen - Iterativ lernende Regelung - Modellierung und Regelung von Neuroprothesen - Computerübungen in Matlab und Simulink"
Projekt Analyse und Synthese von Regelungssystemen,"4,9,17","Lehrergebnisse: Am Beispiel aktueller Forschungsthemen vermittelt das Projekt Analyse und Synthese von Regelungssystemen Kenntnisse im Umgang mit automatisierungstechnischen Geräten und rechnergestützten Analyse- und Entwurfsmethoden in Verbindung mit Erfahrungen im Projektmanagement.
Lehrinhalte: Der Schwerpunkt des Projekts ist die Zusammenarbeit von bis zu vier Studierenden bei der Lösung einer gemeinsamen Projektaufgabe zu aktuellen Forschungsfragen der Regelungstechnik, Rehabilitationsrobotik und Neuroprothetik. Es sollen nicht nur, wie beim konventionellen Praktikum üblich, Teilaufgaben gelöst werden, sondern jeder Studierende der Gruppe ist für den Erfolg des gesamten Projektes verantwortlich. Wichtige Entscheidungen werden gemeinsam getroffen. Die Bearbeitung der Aufgabe wird arbeitsteilig von allen Teilnehmern durchgeführt, wobei das Management des Projektes von einem Gruppenteilnehmer übernommen wird. Dies entspricht der Projektdurchführung im industriellen Arbeitsumfeld.  Für die Durchführung des Praktikums wird nur die Aufgabenstellung vorgegeben, jedoch kein detaillierter Arbeitsplan. Alle notwendigen Einrichtungen, technischen Unterlagen und Datenblätter werden zur Verfügung gestellt. Die Betreuung dieses Projektes bezieht sich auf eine Beratung bei der Aufstellung des Lösungsweges und der Projektorganisation. Sie wird zu festgelegten Zeiten vorgenommen."
Elektronik mit Praktikum,"9,4,12,17","Lehrergebnisse: Aufbauend auf dem Grundlagenwissen der Schaltungstechnik und Mikroprozessortechnik kennen die Studierenden die theoretischen Grundlagen zur Entwicklung systemelektronischer Baugruppen. Sie beherrschen die Grundlagen elektronischer Systeme, sind in der Lage, die notwendigen Berechnungen durchzuführen und kennen die Methoden zum Entwurf, Dimensionierung und zur Systemintegration. Sie sind zudem in der Lage, die Schaltungen aufzubauen, zu dimensionieren und zu vermessen.
Lehrinhalte: In der Vorlesung werden die Funktionen analoger und digitaler elektronischer Komponenten und Systeme sowie deren Entwurf und die Systemintegration vermittelt. Konkrete Inhalte sind Operationsverstärkerschaltungen, Filterschaltungen, Oszillatoren, PLL, AD-/DAUmsetzer, programmierbare Logik und Spezialgebiete aus der Mikro- und Signalprozessortechnik. Innerhalb der Übungen werden Rechen- und Entwurfsbeispiele betrachtet. Die Praktika beinhalten den praktischen Aufbau, die Dimensionierung und das Vermessen der in Vorlesung und Übung theoretisch erarbeiteten Schaltungen, und erweitern diese auf Anwendungsbeispiele und die dafür notwendingen Änderungen. Optional besteht durch die zusätzliche Wahl des Moduls „Projekt Elektronik“ die Möglichkeit im Team mit ca. acht Personen in einem frei wählbaren Projekt den Entwurf, Aufbau und Test eines elektronischen Systems in Hard- und Software durchzuführen, wobei neben den fachlichen Inhalten auch die Teamarbeit und das Projektmanagement von Bedeutung sind."
Modellierung und Simulation von Batterien,"7,9,4,12,13","Lehrergebnisse: Studierende, die dieses Modul wählen, sind nach erfolgreichem Abschluss in der Lage elektrochemische Energiespeichersysteme zu simulieren. Weiterhin haben sie gelernt, in einer Gruppe ein Simulationsprojekt nach vorgegebenem Zeitplan zu bearbeiten und ihre Arbeit zu präsentieren.
Lehrinhalte: In dem Modul wird die elektrische, thermische und Alterungs-Modellierung von Batterien vorgestellt. Dabei wird zwischen verschiedenen Modellierungsarten unterschieden:  Elektrische Modellierung: Impedanzbasierte Modellierung, physikalisch-chemisch und Energieflussmodelle thermische Modellierung: ortsaufgelöste Wärmeerzeugung und -verteilung Alterungsmodellierung: physikalisch-chemische Modellierung und empirische Modellierung basierend auf dem Ah-Umsatz Die Besonderheiten von Bleibatterien, Lithium-Ionen-Batterien und Supercaps werden bei den verschiedenen Modellierungsarten vorgestellt."
Robotics: Fundamentals,"4,9,11,13,17","Lehrergebnisse: In diesem Modul erwerben die Studierenden grundlegende Kenntnisse über fundamentale Paradigmen autonomer, mobiler Robotersysteme zur Erfüllung von komplexen Aufgaben in unbekannten Umgebungen. Das Modul vermittelt grundlegende Kenntnisse über Algorithmen zur Erfassung und Verarbeitung von Sensordaten, zur Planung und Generierung von Roboterbewegungen, zur Repräsentation der Umwelt und zum Umgang mit Unsicherheit in der Umwelt. Dabei werden Erfahrungen mit Software-Entwicklungswerkzeugen gesammelt als auch der Entwicklung eingebetteter, mit der realen Welt durch Sensoren und Aktuatoren interagierende Softwaresysteme.
Lehrinhalte: Übungsanleitung: Einführung in die Bestandteile mobiler Roboter: Sensorik, Aktuatorik Echtzeitregelung, Kinematik,  Repräsentation der Umwelt,  Bahnplanung in 2D,  Lokalisierung in 2D,  Umgang mit Unsicherheit und unvollständigem Wissen,  probabilistische Modelle und rekursive Schätzung. Praktische Anwendung des Lehrstoffes:  Die Lehrinhalte werden in Gruppenarbeiten auf Robotern umgesetzt (iCreate Platform mit ROS und Python). Die Studierenden entwickeln dabei von Grund auf die notwendigen Bestandteile, um einen Roboter kontrolliert in einem Raum zu bewegen. Dies beinhaltet die Programmierung von Bewegungsprimitiven, Lokalisierungsalgorithmen, Bahnplanern und Methoden zur Kartenerstellung. Die Übungen münden in einen Roboterturnier."
